Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,186.960007,188.190002,186.000000,187.919998,181.775970,346600
2021-05-12,186.339996,187.050003,183.770004,184.020004,178.003494,375100
2021-05-13,185.000000,187.110001,185.000000,186.059998,179.976791,279200
2021-05-14,187.580002,189.360001,187.460007,189.039993,182.859360,323000
2021-05-17,188.440002,188.809998,187.429993,188.470001,182.307983,175800
2021-05-18,188.600006,188.740005,186.729996,186.869995,180.760315,133600
2021-05-19,184.490005,186.500000,184.000000,186.419998,180.325012,245500
2021-05-20,186.960007,189.179993,186.960007,188.589996,182.424072,219400
2021-05-21,189.479996,189.729996,188.199997,188.389999,182.230621,183500
2021-05-24,189.570007,191.119995,189.419998,190.750000,184.513443,112000
2021-05-25,191.199997,191.300003,189.979996,190.179993,183.962097,165600
2021-05-26,190.570007,190.850006,190.100006,190.580002,184.349014,91200
2021-05-27,190.949997,191.240005,190.320007,190.339996,184.116852,90400
2021-05-28,191.110001,191.300003,190.500000,190.639999,184.407043,133900
2021-06-01,191.649994,191.679993,190.009995,190.070007,183.855682,163200
2021-06-02,190.419998,190.910004,190.029999,190.520004,184.291000,120900
2021-06-03,189.399994,190.289993,188.830002,189.660004,183.459106,150700
2021-06-04,190.610001,191.809998,190.589996,191.630005,185.364685,174700
2021-06-07,191.630005,191.970001,191.100006,191.899994,185.625839,91700
2021-06-08,192.419998,192.419998,191.110001,191.809998,185.538803,128100
2021-06-09,192.279999,192.410004,191.610001,191.610001,185.345337,88500
2021-06-10,191.779999,192.750000,191.490005,192.300003,186.499451,110600
2021-06-11,192.600006,192.600006,191.949997,192.589996,186.780685,110700
2021-06-14,192.690002,193.470001,192.259995,193.470001,187.634155,331700
2021-06-15,193.460007,193.460007,192.580002,192.770004,186.955276,132600
2021-06-16,193.009995,193.009995,190.729996,192.020004,186.227905,193200
2021-06-17,191.699997,192.960007,191.360001,192.509995,186.703110,159300
2021-06-18,191.250000,191.250000,190.130005,190.190002,184.453079,157400
2021-06-21,190.899994,192.600006,190.449997,192.550003,186.741898,262200
2021-06-22,192.550003,194.139999,192.350006,193.720001,187.876617,141400
2021-06-23,193.860001,194.149994,193.449997,193.449997,187.614777,146900
2021-06-24,194.589996,195.020004,194.440002,194.570007,188.700989,130300
2021-06-25,195.059998,195.199997,194.710007,194.919998,189.040390,94000
2021-06-28,195.320007,195.880005,195.050003,195.850006,189.942383,142500
2021-06-29,196.020004,196.169998,195.720001,195.970001,190.058777,119400
2021-06-30,195.649994,196.389999,195.589996,196.179993,190.262421,75600
2021-07-01,196.279999,197.149994,196.279999,197.149994,191.203140,80600
2021-07-02,197.720001,199.160004,197.690002,199.050003,193.045853,94100
2021-07-06,199.119995,199.300003,197.610001,199.050003,193.045853,292800
2021-07-07,199.630005,200.110001,198.750000,199.970001,193.938080,160900
2021-07-08,197.210007,198.839996,196.880005,198.589996,192.599716,246200
2021-07-09,199.029999,200.479996,198.970001,200.369995,194.326004,243700
2021-07-12,200.490005,201.190002,200.399994,201.100006,195.034012,162900
2021-07-13,200.770004,201.960007,200.729996,200.960007,194.898209,217800
2021-07-14,201.820007,202.039993,200.850006,201.630005,195.548019,429900
2021-07-15,201.070007,201.100006,199.860001,200.649994,194.597549,142300
2021-07-16,201.279999,201.339996,198.919998,199.110001,193.104034,208900
2021-07-19,196.770004,197.039993,194.910004,196.160004,190.242996,400800
2021-07-20,196.740005,199.389999,196.250000,198.740005,192.745178,422200
2021-07-21,199.199997,200.240005,199.029999,200.240005,194.199936,290200
2021-07-22,200.380005,201.080002,200.179993,201.009995,194.946701,119800
2021-07-23,201.990005,203.320007,201.639999,203.320007,197.187012,165900
2021-07-26,202.839996,203.750000,202.690002,203.750000,197.604080,196100
2021-07-27,203.350006,203.350006,200.990005,202.389999,196.285095,282800
2021-07-28,202.770004,203.059998,201.600006,202.259995,196.158997,135500
2021-07-29,202.509995,203.199997,202.509995,202.720001,196.605133,158000
2021-07-30,201.059998,201.779999,200.820007,201.100006,195.034012,232400
2021-08-02,202.020004,202.119995,200.660004,200.949997,194.888504,243200
2021-08-03,201.240005,202.360001,200.240005,202.360001,196.256012,206000
2021-08-04,201.839996,201.960007,201.330002,201.500000,195.421951,111700
2021-08-05,202.110001,202.970001,201.899994,202.970001,196.847595,120400
2021-08-06,202.910004,203.270004,202.779999,203.139999,197.012466,93200
2021-08-09,203.229996,203.380005,202.759995,202.990005,196.867020,139900
2021-08-10,203.169998,203.539993,202.630005,203.070007,196.944595,402100
2021-08-11,203.740005,203.860001,203.179993,203.580002,197.439209,121700
2021-08-12,203.500000,204.580002,203.190002,204.550003,198.379944,145100
2021-08-13,204.729996,205.119995,204.639999,205.119995,198.932739,116400
2021-08-16,204.380005,205.699997,203.240005,205.660004,199.456451,137500
2021-08-17,204.350006,204.720001,202.839996,204.089996,197.933807,210400
2021-08-18,203.779999,204.509995,201.809998,201.889999,195.800171,143700
2021-08-19,200.509995,203.059998,200.509995,202.320007,196.217224,206300
2021-08-20,202.750000,204.350006,202.479996,204.229996,198.069550,168400
2021-08-23,204.869995,206.520004,204.860001,206.070007,199.854095,196500
2021-08-24,206.449997,206.600006,206.009995,206.320007,200.096558,135800
2021-08-25,206.490005,206.619995,206.139999,206.399994,200.174133,104200
2021-08-26,206.369995,206.559998,205.229996,205.289993,199.097610,467400
2021-08-27,205.589996,207.119995,205.460007,206.960007,200.717239,115900
2021-08-30,207.270004,208.750000,207.270004,208.399994,202.113770,182800
2021-08-31,208.490005,208.559998,207.830002,208.080002,201.803467,96800
2021-09-01,208.490005,208.949997,207.979996,208.080002,201.803467,163400
2021-09-02,208.740005,208.979996,207.860001,208.380005,202.094406,120400
2021-09-03,208.089996,208.809998,207.690002,208.809998,202.511414,85800
2021-09-07,208.449997,208.779999,207.990005,208.369995,202.084702,123900
2021-09-08,208.210007,208.270004,207.059998,208.050003,201.774353,138600
2021-09-09,207.970001,208.600006,206.699997,206.990005,200.746338,166400
2021-09-10,207.820007,208.050003,205.020004,205.100006,198.913361,638400
2021-09-13,206.479996,206.729996,204.600006,205.710007,199.504959,190900
2021-09-14,206.369995,206.570007,204.130005,204.509995,198.341141,154000
2021-09-15,204.860001,206.509995,204.380005,206.240005,200.018967,113200
2021-09-16,206.039993,206.339996,204.369995,205.910004,199.698929,78600
2021-09-17,205.630005,205.630005,203.779999,203.910004,197.759247,229900
2021-09-20,200.869995,201.740005,197.949997,200.339996,194.296906,328100
2021-09-21,201.429993,202.220001,200.110001,200.360001,194.316345,114400
2021-09-22,201.229996,202.910004,200.729996,201.990005,195.897156,166100
2021-09-23,202.979996,205.009995,202.860001,204.259995,198.098679,125600
2021-09-24,202.910004,204.440002,202.710007,204.179993,198.635666,118000
2021-09-27,203.360001,203.869995,203.039993,203.369995,197.847702,111900
2021-09-28,201.839996,202.029999,198.789993,199.149994,193.742249,231900
2021-09-29,199.869995,200.740005,199.259995,199.520004,194.102249,150600
2021-09-30,200.250000,200.630005,197.330002,197.440002,192.078705,200000
2021-10-01,198.160004,200.550003,196.649994,200.000000,194.569183,259500
2021-10-04,199.339996,199.669998,195.880005,196.910004,191.563110,320000
2021-10-05,197.729996,200.350006,197.720001,199.229996,193.820099,209800
2021-10-06,197.520004,200.490005,196.839996,200.490005,195.045883,182100
2021-10-07,201.869995,203.199997,201.710007,201.949997,196.466232,117600
2021-10-08,202.380005,202.449997,201.399994,201.800003,196.320297,116800
2021-10-11,201.399994,202.710007,200.160004,200.169998,194.734573,164100
2021-10-12,200.750000,200.750000,199.000000,199.389999,193.975739,768300
2021-10-13,199.910004,200.309998,198.539993,199.970001,194.540009,494700
2021-10-14,201.809998,203.330002,201.649994,203.169998,197.653122,113500
2021-10-15,204.270004,205.190002,203.929993,205.169998,199.598785,175500
2021-10-18,204.360001,206.059998,203.970001,206.029999,200.435440,126200
2021-10-19,206.649994,207.559998,206.470001,207.559998,201.923920,103600
2021-10-20,207.850006,208.220001,207.309998,208.169998,202.517334,93700
2021-10-21,207.729996,208.500000,207.509995,208.419998,202.760559,65500
2021-10-22,207.899994,208.279999,206.729996,207.720001,202.079559,103000
2021-10-25,208.320007,209.139999,207.330002,209.020004,203.344254,144700
2021-10-26,209.869995,210.649994,209.199997,209.520004,203.830688,215100
2021-10-27,209.910004,210.789993,209.399994,209.449997,203.762589,379200
2021-10-28,210.199997,211.339996,210.179993,211.190002,205.455338,166400
2021-10-29,209.880005,212.179993,209.720001,212.179993,206.418457,161500
2021-11-01,212.619995,212.720001,211.229996,212.160004,206.399002,130500
2021-11-02,212.110001,213.380005,212.100006,213.039993,207.255112,128500
2021-11-03,213.100006,214.830002,212.720001,214.770004,208.938126,167800
2021-11-04,215.279999,216.279999,215.000000,216.279999,210.407135,71300
2021-11-05,217.149994,217.899994,216.279999,216.929993,211.039474,152800
2021-11-08,217.259995,217.589996,216.580002,216.850006,210.961655,233000
2021-11-09,217.270004,217.270004,214.979996,215.690002,209.833160,183000
2021-11-10,214.619995,215.770004,213.119995,213.990005,208.179321,245300
2021-11-11,214.910004,214.910004,213.830002,213.880005,208.072296,163700
2021-11-12,214.539993,215.759995,213.929993,215.539993,209.687241,132400
2021-11-15,216.020004,216.330002,214.820007,215.479996,209.628830,138300
2021-11-16,215.320007,216.750000,215.279999,216.399994,210.523865,115200
2021-11-17,216.169998,216.610001,215.729996,215.970001,210.105545,185900
2021-11-18,216.580002,217.509995,215.589996,217.190002,211.292419,123900
2021-11-19,217.399994,218.000000,216.880005,217.240005,211.341080,114700
2021-11-22,218.199997,219.649994,216.350006,216.460007,210.582245,234600
2021-11-23,216.270004,216.949997,214.970001,216.610001,210.728149,630700
2021-11-24,215.770004,217.210007,215.100006,217.070007,211.175674,233900
2021-11-26,214.210007,214.889999,211.949997,212.369995,206.603302,187600
2021-11-29,214.710007,215.860001,214.029999,215.149994,209.307800,152300
2021-11-30,214.059998,215.149994,211.429993,211.800003,206.048752,574100
2021-12-01,214.360001,215.699997,209.289993,209.449997,203.762589,846000
2021-12-02,209.160004,212.479996,209.000000,211.710007,205.961227,266100
2021-12-03,212.600006,213.070007,207.669998,209.809998,204.112823,208800
2021-12-06,211.000000,212.979996,209.580002,212.139999,206.379562,246000
2021-12-07,215.119995,216.729996,214.899994,216.429993,210.553040,207300
2021-12-08,216.899994,217.350006,215.889999,217.130005,211.234024,190800
2021-12-09,216.570007,217.050003,215.789993,215.850006,209.988800,132800
2021-12-10,217.360001,218.410004,216.399994,218.330002,212.401443,722400
2021-12-13,217.509995,217.699997,215.410004,215.550003,210.287369,632100
2021-12-14,213.720001,214.770004,212.339996,214.059998,208.833740,339700
2021-12-15,213.970001,217.820007,212.759995,217.740005,212.423889,294500
2021-12-16,218.570007,218.649994,214.539993,215.320007,210.063004,272100
2021-12-17,213.639999,214.809998,211.839996,212.929993,207.731323,340300
2021-12-20,210.440002,210.979996,209.149994,210.740005,205.594803,377000
2021-12-21,212.270004,214.309998,210.869995,214.229996,208.999603,334600
2021-12-22,214.130005,216.710007,214.080002,216.649994,211.360519,277500
2021-12-23,217.059998,218.600006,216.940002,217.839996,212.521454,205700
2021-12-27,218.610001,220.940002,218.610001,220.940002,215.545776,249800
2021-12-28,221.160004,221.550003,220.300003,220.570007,215.184814,218400
2021-12-29,220.699997,221.130005,219.929993,220.839996,215.448212,219600
2021-12-30,220.740005,221.399994,219.809998,219.960007,214.589706,149200
2021-12-31,219.779999,220.309998,219.050003,219.130005,213.779968,161500
2022-01-03,220.070007,221.630005,219.259995,221.630005,216.218933,157600
2022-01-04,222.179993,222.350006,220.039993,220.940002,215.545776,200900
2022-01-05,220.669998,220.910004,216.500000,216.589996,211.301971,348000
2022-01-06,215.949997,217.330002,215.000000,216.139999,210.862961,284500
2022-01-07,216.130005,216.729996,214.589996,215.710007,210.443451,271500
2022-01-10,213.770004,215.580002,211.000000,215.429993,210.170288,346000
2022-01-11,215.279999,217.350006,213.919998,217.350006,212.043427,240500
2022-01-12,218.250000,218.949997,217.119995,218.070007,212.745834,143700
2022-01-13,218.539993,218.649994,214.000000,214.440002,209.204468,312100
2022-01-14,212.820007,214.860001,212.720001,214.779999,209.536163,255900
2022-01-18,212.179993,212.410004,210.529999,210.899994,205.750885,521200
2022-01-19,211.559998,212.429993,208.660004,208.830002,203.731445,285100
2022-01-20,209.830002,211.919998,206.380005,206.479996,201.438812,262900
2022-01-21,205.500000,206.889999,202.000000,202.000000,197.068207,710000
2022-01-24,199.089996,202.710007,193.630005,202.589996,197.643784,1017500
2022-01-25,199.550003,202.770004,197.119995,200.320007,195.429214,542100
2022-01-26,203.919998,205.110001,198.229996,200.320007,195.429214,869400
2022-01-27,202.690002,204.220001,198.990005,199.699997,194.824341,554800
2022-01-28,200.720001,205.139999,198.479996,205.070007,200.063232,358700
2022-01-31,205.089996,209.110001,204.300003,208.960007,203.858276,518900
2022-02-01,209.509995,210.750000,207.820007,210.529999,205.389923,395900
2022-02-02,212.089996,212.740005,210.419998,212.360001,207.175232,660200
2022-02-03,208.750000,209.669998,206.029999,206.580002,201.536362,762200
2022-02-04,206.899994,209.899994,205.809998,208.149994,203.068039,1010100
2022-02-07,208.399994,208.850006,206.399994,207.009995,201.955841,196400
2022-02-08,206.710007,209.029999,206.110001,208.580002,203.487549,178400
2022-02-09,210.399994,211.229996,210.080002,211.080002,205.926498,652800
2022-02-10,208.589996,210.919998,206.429993,207.419998,202.355835,398200
2022-02-11,207.550003,208.220001,202.300003,202.889999,197.936462,576500
2022-02-14,202.410004,203.860001,201.009995,202.759995,197.809647,388100
2022-02-15,205.119995,206.119995,204.690002,205.970001,200.941254,225600
2022-02-16,204.940002,206.699997,204.009995,206.320007,201.282715,260100
2022-02-17,204.610001,204.820007,201.380005,201.710007,196.785278,246300
2022-02-18,201.910004,202.089996,198.940002,200.179993,195.292603,400600
2022-02-22,198.550003,200.490005,196.000000,197.699997,192.873169,549100
2022-02-23,199.179993,199.509995,193.809998,193.970001,189.234238,742400
2022-02-24,188.440002,197.149994,188.130005,196.889999,192.082977,864700
2022-02-25,197.679993,201.119995,196.820007,201.119995,196.209671,405900
2022-02-28,198.759995,201.410004,198.100006,200.929993,196.024307,614100
2022-03-01,200.199997,201.000000,196.740005,198.009995,193.175583,420400
2022-03-02,198.979996,201.960007,198.350006,201.190002,196.277954,1185100
2022-03-03,202.369995,202.770004,199.110001,200.009995,195.126770,471500
2022-03-04,198.240005,198.649994,196.250000,197.979996,193.146317,373300
2022-03-07,197.809998,197.809998,192.289993,192.339996,187.644028,386200
2022-03-08,192.210007,196.009995,190.160004,190.899994,186.239182,533800
2022-03-09,195.080002,197.139999,194.020004,196.240005,191.448822,424700
2022-03-10,194.300003,195.779999,193.080002,195.240005,190.473221,285500
2022-03-11,196.479996,196.729996,192.490005,192.770004,188.063553,382200
2022-03-14,192.839996,194.649994,190.690002,191.029999,186.366028,325400
2022-03-15,192.279999,196.000000,191.860001,195.720001,190.941513,293600
2022-03-16,197.369995,200.130005,195.059998,200.130005,195.243866,471300
